refID,Size,Symbol,UNT,AUX_2h,AUX_4h,AUX_8h,AUX_24h
NM_028138,38759,Thumpd2,32.4766231009345,33.7512460144721,40.3295037896752,33.0140878540737,24.9356874603352
NM_001112798,365283,Slc8a1,0.328661815805269,1.17165298034034,3.6353264951718,2.59473923304204,1.90215674895785
NR_045094,44634,Gm19689,0.0525788965603482,0.0712159785598524,0.0473248643128195,0.0980124766868018,0.0332617887218121
NM_134117,9787,Pkdcc,1.24855113945584,4.20224048051807,4.68672674905464,7.57944561962119,6.28142550919077
NM_001114361,129429,Eml4,101.100024121895,117.148045209701,161.291663165446,130.625661499125,96.3985419373588
NM_001159529,12417,Cox7a2l,144.840141165943,178.112111097141,225.452368227452,223.754961809283,187.765395492765
NM_153512,45939,Kcng3,3.67117746852165,12.7929688565941,17.9364070987652,15.7722003087105,12.0247367565373
NM_001171052,99260,Mta3,33.4532179658859,37.9636635313789,49.4878629701845,52.8566153558974,42.628670095822
NM_025325,15437,Haao,0.615413357948249,0.493656507965364,0.621191942974991,0.945312846469206,0.289307027466107
NR_130994,14857,8430430B14Rik,3.55973750766657,2.61743646219859,4.35064418900029,3.68881840420024,2.46142954964348
NR_045458,11216,4933433H22Rik,0.168530217358878,0.0598995176335166,0.415767270822339,0.201444620637738,0.107846474448599
NM_001001806,4020,Zfp36l2,121.047936274594,177.20524098845,280.469664422808,197.567002750832,166.405229579471
NM_183021,276153,Thada,64.4860860068182,78.7223276421392,108.553232129548,90.3542068310805,72.5413454125973
NM_177606,110248,Plekhh2,12.1484175591992,14.9010413309642,21.8398952126368,20.204058279005,16.9532243649854
NM_172256,29066,Dync2li1,6.44697163756782,5.88395202271762,7.19805981442982,6.13709265102226,6.673539109207
NM_031884,24690,Abcg5,0.0429765759808351,0.0775287519698328,0.304260861272545,0.171757015904095,0.131892528375002
NM_001286005,24032,Abcg8,0.0293142153512366,0.0474799356341651,0.0177822587920842,0.144158950552517,0.100666283073859
NM_026180,17213,Abcg8,0.0409271610597176,0.0331446526799586,0.0248267729792231,0.201268105482955,0.140545640784928
NM_028233,85540,Lrpprc,149.671917423194,177.851134736669,228.618022338443,199.108444086551,160.770622683432
NM_001159497,67252,Ppm1b,165.92287415196,180.207146089051,232.799692250178,188.366259913797,151.303318650797
NM_009205,35895,Slc3a1,1.88257874482268,1.26411030187965,1.69601236955271,1.3290031647529,1.57123191452751
NM_001163622,26791,Prepl,58.4182908174553,60.4600234840407,80.2953296486657,82.1694166591779,69.7271564922964
NM_028576,367881,Camkmt,14.516437205516,15.1164347853478,16.5590540092906,15.1467235056562,12.2978040752935
NR_015387,11039,Six3os1,0.531540044373988,4.77608417417417,8.40996131935776,6.80957766903431,7.63541362334896
NM_011381,5358,Six3,0.0871104140021747,6.36607232130922,31.5283111273319,38.2404220938273,30.6415559706918
NM_011380,3987,Six2,0.793285991484478,10.2357897878715,24.9491731096661,26.9756458945181,21.5119918097833
NM_030133,160511,Srbd1,88.6609076628263,110.608130336076,149.234010534248,120.564747465959,94.2690361687115
NM_011104,490135,Prkce,1.7938188996618,3.94841108889608,9.56700592227355,7.4677255312942,4.50324282421861
NR_045435,2012,2010106C02Rik,0,0,0,0.179351130486338,0
NM_010137,79547,Epas1,31.1821133738962,43.8213281660109,56.63162620677,52.5454613382323,29.8190667119094
NM_001277980,5020,Tmem247,0,0.133831272864048,0,0,0
NM_029121,3779,Atp6v1e2,0.0629112530027167,0,0,0,0
NM_145491,36959,Rhoq,28.8058072720874,23.9865137361867,33.2665386042046,34.2359025095487,23.7323752948748
NM_008838,28143,Pigf,70.9576185037639,76.6461677873342,100.346615481724,79.3576882201291,73.1086310202489
NM_019936,10248,Cript,70.2096790293354,91.5350866781223,130.602517043769,107.487412283559,101.780464602053
NM_019654,29910,Socs5,19.5622695510717,23.3474068640492,32.3567623206515,24.8678956760234,17.7985872124922
NR_046016,2727,C330024C12Rik,0.599039821702524,0.564235405911819,0.655687320570479,1.6333528317889,0.750575895916141
NM_139295,11505,Mcfd2,72.2842426185127,81.5194986793899,103.984654168132,102.707845803011,95.1621574076615
